pdf_sayfa	cumle_id	token	lemma	anlam	etiket	cumle
2	4	bulutlar	bulut	havada toplanmış su buharı		Akdenizin üstünde daima, top top ak bulutlar salınır.
2	4	salınır	sal-	yayılmak, dağılmak		Akdenizin üstünde daima, top top ak bulutlar salınır.
2	5	Kıyılar	kıyı	deniz kenarı		Kıyılar dümdüz, cilalanmış gibi düz kjlli topraklardır.
2	5	dümdüz	dümdüz	tam düz, eğim yok	ÇKY	Kıyılar dümdüz, cilalanmış gibi düz kjlli topraklardır.
2	5	cilalanmış	cilal-	parlatılmış, pırıl pırıl		Kıyılar dümdüz, cilalanmış gibi düz kjlli topraklardır.
2	5	düz	düz	eğimli olmayan		Kıyılar dümdüz, cilalanmış gibi düz kjlli topraklardır.
2	5	kjlli	kjlli	yazım hatası veya yerel ifade	AĞZ	Kıyılar dümdüz, cilalanmış gibi düz kjlli topraklardır.
2	5	topraklardır	toprak	yeryüzü katı tabakası		Kıyılar dümdüz, cilalanmış gibi düz kjlli topraklardır.
2	6	Killi	Killi	dağ, bölge adı	YER	Killi toprak et gibidir.
2	6	toprak	toprak	yeryüzü katı		Killi toprak et gibidir.
2	6	et	et	hayvanın eti		Killi toprak et gibidir.
2	7	kıyılar	kıyı	denizle kara arasındaki sınır		Bu kıyılar saatlarca içe kadar deniz kokar, tuz kokar.
2	7	saatlarca	saat	zaman birimi		Bu kıyılar saatlarca içe kadar deniz kokar, tuz kokar.
2	7	içe	iç	dışın tersi		Bu kıyılar saatlarca içe kadar deniz kokar, tuz kokar.
2	7	deniz	deniz	geniş su birikintisi		Bu kıyılar saatlarca içe kadar deniz kokar, tuz kokar.
2	7	kokar	kok-	koku yaymak		Bu kıyılar saatlarca içe kadar deniz kokar, tuz kokar.
2	7	tuz	tuz	deniz suyunun tuzlu olması		Bu kıyılar saatlarca içe kadar deniz kokar, tuz kokar.
2	8	Düz	düz	yüzeyin düz olması		Düz, killi, sürülmüş topraklardan sonra Çukuro-vanm bükleri başlar.
2	8	killi	killi	kılıç gibi keskin	AĞZ	Düz, killi, sürülmüş topraklardan sonra Çukuro-vanm bükleri başlar.
2	8	sürülmüş	sür-	bir şeyi çekerek hareket ettirmek		Düz, killi, sürülmüş topraklardan sonra Çukuro-vanm bükleri başlar.
2	8	topraklardan	toprak	yeryüzü katı		Düz, killi, sürülmüş topraklardan sonra Çukuro-vanm bükleri başlar.
2	8	Çukuro-vanm	Çukuro-van	Türkiye'nin güneydoğusundaki bölge	YER	Düz, killi, sürülmüş topraklardan sonra Çukuro-vanm bükleri başlar.
2	8	bükleri	bük	eğri, kıvrık yer		Düz, killi, sürülmüş topraklardan sonra Çukuro-vanm bükleri başlar.
2	9	örülmüşçesine	örülmüşçesine	dokunmuş gibi, sıkışık	AĞZ,ÇKY	Örülmüşçesine sık çalılar, kamışlar, böğürtlenler, 
